,,Edinburgh Haymarket,
Date,Time,Nitrogen dioxide,Status
01/01/2007,01:00:00,19,V ugm-3
01/01/2007,02:00:00,13,V ugm-3
01/01/2007,03:00:00,11,V ugm-3
01/01/2007,04:00:00,8,V ugm-3
01/01/2007,05:00:00,13,V ugm-3
01/01/2007,06:00:00,13,V ugm-3
01/01/2007,07:00:00,21,V ugm-3
01/01/2007,08:00:00,19,V ugm-3
01/01/2007,09:00:00,19,V ugm-3
01/01/2007,10:00:00,17,V ugm-3
01/01/2007,11:00:00,No data,V ugm-3
01/01/2007,12:00:00,No data,V ugm-3
01/01/2007,13:00:00,No data,V ugm-3
01/01/2007,14:00:00,No data,V ugm-3
01/01/2007,15:00:00,No data,V ugm-3
01/01/2007,16:00:00,No data,V ugm-3
01/01/2007,17:00:00,No data,V ugm-3
01/01/2007,18:00:00,No data,V ugm-3
01/01/2007,19:00:00,No data,V ugm-3
01/01/2007,20:00:00,No data,V ugm-3
01/01/2007,21:00:00,No data,V ugm-3
01/01/2007,22:00:00,No data,V ugm-3
01/01/2007,23:00:00,No data,V ugm-3
01/01/2007,24:00:00,No data,V ugm-3
02/01/2007,01:00:00,No data,V ugm-3
02/01/2007,02:00:00,No data,V ugm-3
02/01/2007,03:00:00,No data,V ugm-3
02/01/2007,04:00:00,No data,V ugm-3
02/01/2007,05:00:00,No data,V ugm-3
02/01/2007,06:00:00,No data,V ugm-3
02/01/2007,07:00:00,No data,V ugm-3
02/01/2007,08:00:00,No data,V ugm-3
02/01/2007,09:00:00,No data,V ugm-3
02/01/2007,10:00:00,No data,V ugm-3
02/01/2007,11:00:00,No data,V ugm-3
02/01/2007,12:00:00,No data,V ugm-3
02/01/2007,13:00:00,No data,V ugm-3
02/01/2007,14:00:00,No data,V ugm-3
02/01/2007,15:00:00,No data,V ugm-3
02/01/2007,16:00:00,No data,V ugm-3
02/01/2007,17:00:00,No data,V ugm-3
02/01/2007,18:00:00,No data,V ugm-3
02/01/2007,19:00:00,No data,V ugm-3
02/01/2007,20:00:00,No data,V ugm-3
02/01/2007,21:00:00,No data,V ugm-3
02/01/2007,22:00:00,No data,V ugm-3
02/01/2007,23:00:00,No data,V ugm-3
02/01/2007,24:00:00,No data,V ugm-3
03/01/2007,01:00:00,No data,V ugm-3
03/01/2007,02:00:00,No data,V ugm-3
03/01/2007,03:00:00,No data,V ugm-3
03/01/2007,04:00:00,No data,V ugm-3
03/01/2007,05:00:00,No data,V ugm-3
03/01/2007,06:00:00,No data,V ugm-3
03/01/2007,07:00:00,No data,V ugm-3
03/01/2007,08:00:00,No data,V ugm-3
03/01/2007,09:00:00,No data,V ugm-3
03/01/2007,10:00:00,No data,V ugm-3
03/01/2007,11:00:00,No data,V ugm-3
03/01/2007,12:00:00,19,V ugm-3
03/01/2007,13:00:00,21,V ugm-3
03/01/2007,14:00:00,21,V ugm-3
03/01/2007,15:00:00,21,V ugm-3
03/01/2007,16:00:00,21,V ugm-3
03/01/2007,17:00:00,21,V ugm-3
03/01/2007,18:00:00,No data,V ugm-3
03/01/2007,19:00:00,23,V ugm-3
03/01/2007,20:00:00,19,V ugm-3
03/01/2007,21:00:00,15,V ugm-3
03/01/2007,22:00:00,15,V ugm-3
03/01/2007,23:00:00,15,V ugm-3
03/01/2007,24:00:00,17,V ugm-3
04/01/2007,01:00:00,23,V ugm-3
04/01/2007,02:00:00,15,V ugm-3
04/01/2007,03:00:00,6,V ugm-3
04/01/2007,04:00:00,6,V ugm-3
04/01/2007,05:00:00,8,V ugm-3
04/01/2007,06:00:00,10,V ugm-3
04/01/2007,07:00:00,15,V ugm-3
04/01/2007,08:00:00,17,V ugm-3
04/01/2007,09:00:00,19,V ugm-3
04/01/2007,10:00:00,29,V ugm-3
04/01/2007,11:00:00,27,V ugm-3
04/01/2007,12:00:00,29,V ugm-3
04/01/2007,13:00:00,29,V ugm-3
04/01/2007,14:00:00,36,V ugm-3
04/01/2007,15:00:00,No data,V ugm-3
04/01/2007,16:00:00,34,V ugm-3
04/01/2007,17:00:00,50,V ugm-3
04/01/2007,18:00:00,44,V ugm-3
04/01/2007,19:00:00,50,V ugm-3
04/01/2007,20:00:00,40,V ugm-3
04/01/2007,21:00:00,38,V ugm-3
