Expenditure_Data_Local_Authority,Expenditure_Data_Year,Expenditure_Data_Expenditure_Cash,Expenditure_Data_Expenditure_Real,Expenditure_Data_ServiceAreaAggregate,Expenditure_Data_ServiceAreaBreakdown,Expenditure_Data_YearIndex
Aberdeen City,2010-11,32279,42109,Adult Social Care,Care Homes for Older People,11
Aberdeen City,2010-11,13516,17632,Adult Social Care,Homecare,11
Aberdeen City,2010-11,65551,85513,Adult Social Care,Other Spend On Over 18s,11
Aberdeen City,2010-11,6198,8085,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,11
Aberdeen City,2010-11,5867,7654,Culture & Leisure,Libraries,11
Aberdeen City,2010-11,4891,6380,Culture & Leisure,Museums & Galleries,11
Aberdeen City,2010-11,1265,1650,Culture & Leisure,Sports Facilities,11
Aberdeen City,2010-11,10412,13583,Economic Development,Economic Development & Tourism,11
Aberdeen City,2010-11,7574,9880,Education,Pre-school,11
Aberdeen City,2010-11,59028,77004,Education,Primary,11
Aberdeen City,2010-11,65720,85734,Education,Secondary,11
Aberdeen City,2010-11,3390,4422,Environmental Services,Street cleaning,11
Aberdeen City,2010-11,5282,6891,Environmental Services,Trading Standards & Env. Health,11
Aberdeen City,2010-11,8589,11205,Environmental Services,Waste Collection,11
Aberdeen City,2010-11,11075,14448,Environmental Services,Waste Disposal,11
Aberdeen City,2010-11,7763,10127,Looked After Children,Community,11
Aberdeen City,2010-11,8487,11072,Looked After Children,Residential,11
Aberdeen City,2010-11,2810,3666,Planning,Planning,11
Aberdeen City,2010-11,16387,21377,Roads,Roads,11
Aberdeen City,2010-11,30662,39999,Support Services,Support Services,11
Aberdeen City,2010-11,509568,664746,Total General Fund,Total General Fund,11
Aberdeen City,2011-12,31002,39743,Adult Social Care,Care Homes for Older People,12
Aberdeen City,2011-12,13902,17821,Adult Social Care,Homecare,12
Aberdeen City,2011-12,68008,87182,Adult Social Care,Other Spend On Over 18s,12
Aberdeen City,2011-12,4069,5216,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,12
Aberdeen City,2011-12,4010,5141,Culture & Leisure,Libraries,12
Aberdeen City,2011-12,3309,4242,Culture & Leisure,Museums & Galleries,12
Aberdeen City,2011-12,1679,2152,Culture & Leisure,Sports Facilities,12
Aberdeen City,2011-12,9165,11749,Economic Development,Economic Development & Tourism,12
Aberdeen City,2011-12,7956,10199,Education,Pre-school,12
Aberdeen City,2011-12,58343,74792,Education,Primary,12
Aberdeen City,2011-12,60805,77948,Education,Secondary,12
Aberdeen City,2011-12,3055,3916,Environmental Services,Street cleaning,12
Aberdeen City,2011-12,3983,5106,Environmental Services,Trading Standards & Env. Health,12
Aberdeen City,2011-12,9349,11985,Environmental Services,Waste Collection,12
