,,Glasgow Kerbside,
Date,Time,Nitrogen dioxide,Status
01/03/2017,01:00:00,50.59391,V ugm-3
01/03/2017,02:00:00,46.9251,V ugm-3
01/03/2017,03:00:00,53.77472,V ugm-3
01/03/2017,04:00:00,58.59039,V ugm-3
01/03/2017,05:00:00,65.89184,V ugm-3
01/03/2017,06:00:00,81.52079,V ugm-3
01/03/2017,07:00:00,101.16312,V ugm-3
01/03/2017,08:00:00,118.76864,V ugm-3
01/03/2017,09:00:00,123.09089,V ugm-3
01/03/2017,10:00:00,134.42484,V ugm-3
01/03/2017,11:00:00,No data,V ugm-3
01/03/2017,12:00:00,89.86519,V ugm-3
01/03/2017,13:00:00,77.04889,V ugm-3
01/03/2017,14:00:00,52.86341,V ugm-3
01/03/2017,15:00:00,55.50744,V ugm-3
01/03/2017,16:00:00,66.26143,V ugm-3
01/03/2017,17:00:00,59.17132,V ugm-3
01/03/2017,18:00:00,74.50765,V ugm-3
01/03/2017,19:00:00,83.18228,V ugm-3
01/03/2017,20:00:00,83.42038,V ugm-3
01/03/2017,21:00:00,86.61378,V ugm-3
01/03/2017,22:00:00,76.09312,V ugm-3
01/03/2017,23:00:00,97.19851,V ugm-3
01/03/2017,24:00:00,85.75507,V ugm-3
02/03/2017,01:00:00,72.70369,V ugm-3
02/03/2017,02:00:00,47.45805,V ugm-3
02/03/2017,03:00:00,46.98917,V ugm-3
02/03/2017,04:00:00,48.01092,V ugm-3
02/03/2017,05:00:00,42.73099,V ugm-3
02/03/2017,06:00:00,47.58013,V ugm-3
02/03/2017,07:00:00,82.53968,V ugm-3
02/03/2017,08:00:00,83.23678,V ugm-3
02/03/2017,09:00:00,107.4562,V ugm-3
02/03/2017,10:00:00,72.53778,V ugm-3
02/03/2017,11:00:00,No data,V ugm-3
02/03/2017,12:00:00,No data,V ugm-3
02/03/2017,13:00:00,57.97266,V ugm-3
02/03/2017,14:00:00,60.40727,V ugm-3
02/03/2017,15:00:00,78.76918,V ugm-3
02/03/2017,16:00:00,53.26121,V ugm-3
02/03/2017,17:00:00,78.56837,V ugm-3
02/03/2017,18:00:00,83.38357,V ugm-3
02/03/2017,19:00:00,78.937,V ugm-3
02/03/2017,20:00:00,81.47107,V ugm-3
02/03/2017,21:00:00,64.20741,V ugm-3
02/03/2017,22:00:00,66.30255,V ugm-3
02/03/2017,23:00:00,53.44625,V ugm-3
02/03/2017,24:00:00,48.15771,V ugm-3
03/03/2017,01:00:00,36.18896,V ugm-3
03/03/2017,02:00:00,57.70586,V ugm-3
03/03/2017,03:00:00,57.692,V ugm-3
03/03/2017,04:00:00,57.59781,V ugm-3
03/03/2017,05:00:00,48.47948,V ugm-3
03/03/2017,06:00:00,68.66162,V ugm-3
03/03/2017,07:00:00,93.50834,V ugm-3
03/03/2017,08:00:00,105.83153,V ugm-3
03/03/2017,09:00:00,114.71032,V ugm-3
03/03/2017,10:00:00,98.33549,V ugm-3
03/03/2017,11:00:00,103.4084,V ugm-3
03/03/2017,12:00:00,92.12513,V ugm-3
03/03/2017,13:00:00,136.86902,V ugm-3
03/03/2017,14:00:00,98.93267,V ugm-3
03/03/2017,15:00:00,94.16528,V ugm-3
03/03/2017,16:00:00,79.19949,V ugm-3
03/03/2017,17:00:00,109.11052,V ugm-3
03/03/2017,18:00:00,94.31016,V ugm-3
03/03/2017,19:00:00,90.05915,V ugm-3
03/03/2017,20:00:00,135.79802,V ugm-3
03/03/2017,21:00:00,107.14494,V ugm-3
03/03/2017,22:00:00,121.96443,V ugm-3
03/03/2017,23:00:00,127.53889,V ugm-3
03/03/2017,24:00:00,96.1409,V ugm-3
04/03/2017,01:00:00,76.29855,V ugm-3
04/03/2017,02:00:00,74.613,V ugm-3
04/03/2017,03:00:00,42.51105,V ugm-3
04/03/2017,04:00:00,43.90957,V ugm-3
04/03/2017,05:00:00,31.32038,V ugm-3
04/03/2017,06:00:00,47.01021,V ugm-3
04/03/2017,07:00:00,60.39006,V ugm-3
04/03/2017,08:00:00,46.62579,V ugm-3
04/03/2017,09:00:00,73.56192,V ugm-3
04/03/2017,10:00:00,84.48564,V ugm-3
04/03/2017,11:00:00,93.85881,V ugm-3
04/03/2017,12:00:00,88.22506,V ugm-3
04/03/2017,13:00:00,74.75198,V ugm-3
04/03/2017,14:00:00,96.54396,V ugm-3
04/03/2017,15:00:00,119.17122,V ugm-3
04/03/2017,16:00:00,117.77175,V ugm-3
04/03/2017,17:00:00,102.84038,V ugm-3
04/03/2017,18:00:00,119.2329,V ugm-3
04/03/2017,19:00:00,109.559,V ugm-3
04/03/2017,20:00:00,143.38204,V ugm-3
04/03/2017,21:00:00,86.40579,V ugm-3
04/03/2017,22:00:00,110.33452,V ugm-3
04/03/2017,23:00:00,117.87742,V ugm-3
04/03/2017,24:00:00,79.91812,V ugm-3
05/03/2017,01:00:00,94.32641,V ugm-3
05/03/2017,02:00:00,76.6275,V ugm-3
05/03/2017,03:00:00,73.72879,V ugm-3
05/03/2017,04:00:00,76.20643,V ugm-3
05/03/2017,05:00:00,55.36496,V ugm-3
05/03/2017,06:00:00,38.39009,V ugm-3
05/03/2017,07:00:00,33.41855,V ugm-3
05/03/2017,08:00:00,41.31287,V ugm-3
05/03/2017,09:00:00,60.37189,V ugm-3
05/03/2017,10:00:00,57.4056,V ugm-3
05/03/2017,11:00:00,57.61454,V ugm-3
05/03/2017,12:00:00,46.69943,V ugm-3
05/03/2017,13:00:00,55.55095,V ugm-3
05/03/2017,14:00:00,59.52322,V ugm-3
05/03/2017,15:00:00,60.84953,V ugm-3
05/03/2017,16:00:00,66.0654,V ugm-3
05/03/2017,17:00:00,53.24209,V ugm-3
05/03/2017,18:00:00,101.04503,V ugm-3
05/03/2017,19:00:00,101.70866,V ugm-3
05/03/2017,20:00:00,61.9344,V ugm-3
05/03/2017,21:00:00,69.92865,V ugm-3
05/03/2017,22:00:00,96.14042,V ugm-3
05/03/2017,23:00:00,88.43735,V ugm-3
05/03/2017,24:00:00,122.0438,V ugm-3
06/03/2017,01:00:00,101.75966,V ugm-3
06/03/2017,02:00:00,64.25809,V ugm-3
06/03/2017,03:00:00,44.11612,V ugm-3
06/03/2017,04:00:00,48.01618,V ugm-3
06/03/2017,05:00:00,35.13693,V ugm-3
06/03/2017,06:00:00,62.63581,V ugm-3
06/03/2017,07:00:00,93.96304,V ugm-3
06/03/2017,08:00:00,101.81337,V ugm-3
06/03/2017,09:00:00,94.76485,V ugm-3
06/03/2017,10:00:00,76.70368,V ugm-3
06/03/2017,11:00:00,68.78928,V ugm-3
06/03/2017,12:00:00,65.41372,V ugm-3
06/03/2017,13:00:00,75.34437,V ugm-3
06/03/2017,14:00:00,85.52652,V ugm-3
06/03/2017,15:00:00,66.16055,V ugm-3
06/03/2017,16:00:00,44.34896,V ugm-3
06/03/2017,17:00:00,86.19829,V ugm-3
06/03/2017,18:00:00,65.81152,V ugm-3
06/03/2017,19:00:00,47.57965,V ugm-3
06/03/2017,20:00:00,70.32741,V ugm-3
06/03/2017,21:00:00,82.83085,V ugm-3
06/03/2017,22:00:00,43.61791,V ugm-3
06/03/2017,23:00:00,33.86368,V ugm-3
06/03/2017,24:00:00,47.93777,V ugm-3
07/03/2017,01:00:00,38.50564,V ugm-3
07/03/2017,02:00:00,43.65218,V ugm-3
07/03/2017,03:00:00,47.62316,V ugm-3
07/03/2017,04:00:00,36.54931,V ugm-3
07/03/2017,05:00:00,37.75371,V ugm-3
07/03/2017,06:00:00,65.17513,V ugm-3
07/03/2017,07:00:00,92.29343,V ugm-3
07/03/2017,08:00:00,151.71528,V ugm-3
07/03/2017,09:00:00,111.79232,V ugm-3
07/03/2017,10:00:00,77.25496,V ugm-3
07/03/2017,11:00:00,109.34145,V ugm-3
07/03/2017,12:00:00,73.03168,V ugm-3
07/03/2017,13:00:00,77.37067,V ugm-3
07/03/2017,14:00:00,62.59134,V ugm-3
07/03/2017,15:00:00,94.34267,V ugm-3
07/03/2017,16:00:00,72.59754,V ugm-3
07/03/2017,17:00:00,112.88053,V ugm-3
07/03/2017,18:00:00,112.37181,V ugm-3
07/03/2017,19:00:00,126.98092,V ugm-3
07/03/2017,20:00:00,115.67613,V ugm-3
07/03/2017,21:00:00,84.81268,V ugm-3
07/03/2017,22:00:00,95.44762,V ugm-3
07/03/2017,23:00:00,82.45266,V ugm-3
07/03/2017,24:00:00,76.19448,V ugm-3
08/03/2017,01:00:00,45.75146,V ugm-3
08/03/2017,02:00:00,19.43164,V ugm-3
08/03/2017,03:00:00,17.99471,V ugm-3
08/03/2017,04:00:00,29.00067,V ugm-3
08/03/2017,05:00:00,22.36382,V ugm-3
08/03/2017,06:00:00,55.59542,V ugm-3
08/03/2017,07:00:00,70.04579,V ugm-3
08/03/2017,08:00:00,101.56618,V ugm-3
08/03/2017,09:00:00,76.01709,V ugm-3
08/03/2017,10:00:00,60.93703,V ugm-3
08/03/2017,11:00:00,46.0377,V ugm-3
08/03/2017,12:00:00,43.18043,V ugm-3
08/03/2017,13:00:00,51.06232,V ugm-3
08/03/2017,14:00:00,33.09868,V ugm-3
08/03/2017,15:00:00,30.50055,V ugm-3
08/03/2017,16:00:00,41.13596,V ugm-3
08/03/2017,17:00:00,52.77161,V ugm-3
08/03/2017,18:00:00,62.48377,V ugm-3
08/03/2017,19:00:00,60.03146,V ugm-3
08/03/2017,20:00:00,83.77563,V ugm-3
08/03/2017,21:00:00,60.11131,V ugm-3
08/03/2017,22:00:00,75.72974,V ugm-3
08/03/2017,23:00:00,76.0257,V ugm-3
08/03/2017,24:00:00,113.12963,V ugm-3
09/03/2017,01:00:00,58.30256,V ugm-3
09/03/2017,02:00:00,13.29953,V ugm-3
09/03/2017,03:00:00,9.9952,V ugm-3
09/03/2017,04:00:00,10.04158,V ugm-3
09/03/2017,05:00:00,6.88309,V ugm-3
09/03/2017,06:00:00,12.56417,V ugm-3
09/03/2017,07:00:00,25.7915,V ugm-3
09/03/2017,08:00:00,57.60068,V ugm-3
09/03/2017,09:00:00,62.27148,V ugm-3
09/03/2017,10:00:00,61.10342,V ugm-3
09/03/2017,11:00:00,40.34849,V ugm-3
09/03/2017,12:00:00,43.02264,V ugm-3
09/03/2017,13:00:00,41.85076,V ugm-3
09/03/2017,14:00:00,56.71328,V ugm-3
09/03/2017,15:00:00,61.52226,V ugm-3
09/03/2017,16:00:00,61.64035,V ugm-3
09/03/2017,17:00:00,53.65662,V ugm-3
09/03/2017,18:00:00,77.49259,V ugm-3
09/03/2017,19:00:00,95.50738,V ugm-3
09/03/2017,20:00:00,97.34195,V ugm-3
09/03/2017,21:00:00,91.86981,V ugm-3
09/03/2017,22:00:00,100.98096,V ugm-3
09/03/2017,23:00:00,89.65418,V ugm-3
09/03/2017,24:00:00,100.69504,V ugm-3
10/03/2017,01:00:00,82.43321,V ugm-3
10/03/2017,02:00:00,52.32026,V ugm-3
10/03/2017,03:00:00,43.98176,V ugm-3
10/03/2017,04:00:00,30.35329,V ugm-3
10/03/2017,05:00:00,32.34803,V ugm-3
10/03/2017,06:00:00,61.01688,V ugm-3
10/03/2017,07:00:00,68.60903,V ugm-3
10/03/2017,08:00:00,109.98214,V ugm-3
10/03/2017,09:00:00,102.58363,V ugm-3
10/03/2017,10:00:00,129.59674,V ugm-3
10/03/2017,11:00:00,130.08395,V ugm-3
10/03/2017,12:00:00,118.49993,V ugm-3
10/03/2017,13:00:00,92.16816,V ugm-3
10/03/2017,14:00:00,109.64171,V ugm-3
10/03/2017,15:00:00,102.92453,V ugm-3
10/03/2017,16:00:00,141.71673,V ugm-3
10/03/2017,17:00:00,121.80952,V ugm-3
10/03/2017,18:00:00,116.21211,V ugm-3
10/03/2017,19:00:00,100.78253,V ugm-3
10/03/2017,20:00:00,155.58905,V ugm-3
10/03/2017,21:00:00,109.54465,V ugm-3
10/03/2017,22:00:00,86.57075,V ugm-3
10/03/2017,23:00:00,78.68599,V ugm-3
10/03/2017,24:00:00,80.43736,V ugm-3
11/03/2017,01:00:00,52.00151,V ugm-3
11/03/2017,02:00:00,69.05018,V ugm-3
11/03/2017,03:00:00,61.12733,V ugm-3
11/03/2017,04:00:00,46.30641,V ugm-3
11/03/2017,05:00:00,29.55578,V ugm-3
11/03/2017,06:00:00,42.52587,V ugm-3
11/03/2017,07:00:00,38.82327,V ugm-3
11/03/2017,08:00:00,36.22275,V ugm-3
11/03/2017,09:00:00,53.35301,V ugm-3
11/03/2017,10:00:00,55.15315,V ugm-3
11/03/2017,11:00:00,65.67477,V ugm-3
11/03/2017,12:00:00,71.08045,V ugm-3
11/03/2017,13:00:00,78.75723,V ugm-3
11/03/2017,14:00:00,51.50171,V ugm-3
11/03/2017,15:00:00,59.22152,V ugm-3
11/03/2017,16:00:00,85.87938,V ugm-3
11/03/2017,17:00:00,72.31545,V ugm-3
11/03/2017,18:00:00,124.88243,V ugm-3
11/03/2017,19:00:00,109.75359,V ugm-3
11/03/2017,20:00:00,155.73344,V ugm-3
11/03/2017,21:00:00,93.76318,V ugm-3
11/03/2017,22:00:00,96.30442,V ugm-3
11/03/2017,23:00:00,70.92458,V ugm-3
11/03/2017,24:00:00,65.72784,V ugm-3
12/03/2017,01:00:00,57.17929,V ugm-3
12/03/2017,02:00:00,65.42854,V ugm-3
12/03/2017,03:00:00,47.97076,V ugm-3
12/03/2017,04:00:00,45.97315,V ugm-3
12/03/2017,05:00:00,41.29661,V ugm-3
12/03/2017,06:00:00,36.95954,V ugm-3
12/03/2017,07:00:00,43.9263,V ugm-3
12/03/2017,08:00:00,39.24928,V ugm-3
12/03/2017,09:00:00,48.84764,V ugm-3
12/03/2017,10:00:00,40.71091,V ugm-3
12/03/2017,11:00:00,40.46754,V ugm-3
12/03/2017,12:00:00,38.51871,V ugm-3
12/03/2017,13:00:00,42.56317,V ugm-3
