LocalAuthority,Code,Year,Indicator,Numerator,Denominator
Aberdeen City,C&L01,2010-11,0.33,637,1922292
Aberdeen City,C&L01,2011-12,0.76,1554,2045051
Aberdeen City,C&L01,2012-13,3.64,7883,2163756
Aberdeen City,C&L01,2013-14,3.48,7726,2222588
Aberdeen City,C&L01,2014-15,3.02,7517,2487138
Aberdeen City,C&L01,2015-16,3.13,7977,2549135
Aberdeen City,C&L01,2016-17,3.37,8070,2396458
Aberdeen City,C&L01,2017-18,3.2,7977,2494247
Aberdeen City,C&L01,2018-19,3.56,7935,2229239
Aberdeen City,C&L01,2019-20,3.45,3950,1145072
Aberdeen City,C&L01,2020-21,27.68,7032,254040
Aberdeen City,C&L01,2021-22,4.8,6888,1434492
Aberdeen City,C&L02,2010-11,3.6,5695,1582483
Aberdeen City,C&L02,2011-12,2.47,3875,1570220
Aberdeen City,C&L02,2012-13,2.98,4413,1478728
Aberdeen City,C&L02,2013-14,2.46,4051,1647002
Aberdeen City,C&L02,2014-15,2.66,4060,1525986
Aberdeen City,C&L02,2015-16,3.57,3911,1094948
Aberdeen City,C&L02,2016-17,3.02,4463,1477706
Aberdeen City,C&L02,2017-18,2.82,4118,1461623
Aberdeen City,C&L02,2018-19,2.67,3824,1429729
Aberdeen City,C&L02,2019-20,2.17,3764,1736063
Aberdeen City,C&L02,2020-21,10.74,3225,300291
Aberdeen City,C&L02,2021-22,2.45,3300,1347180
Aberdeen City,C&L03,2010-11,5.02,3528,703201
Aberdeen City,C&L03,2011-12,2.72,2624,966093
Aberdeen City,C&L03,2012-13,4.11,3292,801684
Aberdeen City,C&L03,2013-14,2.31,2579,1114535
Aberdeen City,C&L03,2014-15,2.37,2548,1075225
Aberdeen City,C&L03,2015-16,1.85,2649,1429835
Aberdeen City,C&L03,2016-17,2.29,3143,1369758
Aberdeen City,C&L03,2017-18,3.85,3248,844045
Aberdeen City,C&L03,2018-19,3,2909,968414
Aberdeen City,C&L03,2019-20,2.79,3150,1130980
Aberdeen City,C&L03,2020-21,16.43,3111,189298
Aberdeen City,C&L03,2021-22,3.13,3722,1190854
Aberdeen City,C&L04,2010-11,21412.12,4649,217120
Aberdeen City,C&L04,2011-12,13868.98,3057,220420
Aberdeen City,C&L04,2012-13,15344.27,3452,224970
Aberdeen City,C&L04,2013-14,17228.02,3913,227130
Aberdeen City,C&L04,2014-15,18026.99,4128,228990
Aberdeen City,C&L04,2015-16,18415.45,4242,230350
Aberdeen City,C&L04,2016-17,17855.9,4104,229840
Aberdeen City,C&L04,2017-18,12465.03,2852,228800
Aberdeen City,C&L04,2018-19,11763.93,2677,227560
Aberdeen City,C&L04,2019-20,12918.18,2954,228670
Aberdeen City,C&L04,2020-21,12795.77,2931,229060
Aberdeen City,C&L04,2021-22,14281.32,3248,227430
Aberdeen City,C&L05a,2010-14,0.734,,
Aberdeen City,C&L05a,2012-15,0.713,,
Aberdeen City,C&L05a,2013-16,0.707,,
Aberdeen City,C&L05a,2014-17,0.74,,
Aberdeen City,C&L05a,2015-18,0.723,,
Aberdeen City,C&L05a,2016-19,0.731,,
Aberdeen City,C&L05a,2017-20,0.727,,
Aberdeen City,C&L05a,2018-21,0.724,,
Aberdeen City,C&L05b,2010-14,0.867,,
Aberdeen City,C&L05b,2012-15,0.843,,
Aberdeen City,C&L05b,2013-16,0.83,,
Aberdeen City,C&L05b,2014-17,0.857,,
Aberdeen City,C&L05b,2015-18,0.877,,
Aberdeen City,C&L05b,2016-19,0.89,,
Aberdeen City,C&L05b,2017-20,0.88,,
Aberdeen City,C&L05b,2018-21,0.886,,
Aberdeen City,C&L05c,2010-14,0.733,,
Aberdeen City,C&L05c,2012-15,0.713,,
Aberdeen City,C&L05c,2013-16,0.69,,
Aberdeen City,C&L05c,2014-17,0.683,,
Aberdeen City,C&L05c,2015-18,0.683,,
Aberdeen City,C&L05c,2016-19,0.666,,
Aberdeen City,C&L05c,2017-20,0.68,,
Aberdeen City,C&L05c,2018-21,0.703,,
Aberdeen City,C&L05d,2010-14,0.654,,
Aberdeen City,C&L05d,2012-15,0.697,,
Aberdeen City,C&L05d,2013-16,0.697,,
Aberdeen City,C&L05d,2014-17,0.71,,
Aberdeen City,C&L05d,2015-18,0.713,,
Aberdeen City,C&L05d,2016-19,0.724,,
Aberdeen City,C&L05d,2017-20,0.714,,
Aberdeen City,C&L05d,2018-21,0.727,,
Aberdeen City,CHN01,2010-11,4960.34,59028,11900
Aberdeen City,CHN01,2011-12,4880.22,58343,11955
Aberdeen City,CHN01,2012-13,4958.13,60747,12252
Aberdeen City,CHN01,2013-14,4867.01,61558,12648
Aberdeen City,CHN01,2014-15,5216.42,68043,13044
Aberdeen City,CHN01,2015-16,5071.59,67721,13353
Aberdeen City,CHN01,2016-17,4957.68,67940,13704
Aberdeen City,CHN01,2017-18,5161.53,71864,13923
Aberdeen City,CHN01,2018-19,5165.73,72315,13999
Aberdeen City,CHN01,2019-20,5367.01,74682,13915
Aberdeen City,CHN01,2020-21,5774.76,80633,13963
Aberdeen City,CHN01,2021-22,5907.7,83204,14084
Aberdeen City,CHN02,2010-11,7025.87,65720,9354
Aberdeen City,CHN02,2011-12,6574.22,60805,9249
Aberdeen City,CHN02,2012-13,6858.23,61971,9036
Aberdeen City,CHN02,2013-14,7068.67,62586,8854
Aberdeen City,CHN02,2014-15,7313.22,64722,8850
Aberdeen City,CHN02,2015-16,7458.24,65282,8753
Aberdeen City,CHN02,2016-17,7378.05,63857,8655
Aberdeen City,CHN02,2017-18,7272.53,63031,8667
Aberdeen City,CHN02,2018-19,7444.71,66444,8925
Aberdeen City,CHN02,2019-20,7712.06,70226,9106
Aberdeen City,CHN02,2020-21,7285.85,69915,9596
Aberdeen City,CHN02,2021-22,7113.04,71422,10041
Aberdeen City,CHN03,2010-11,2058.15,7574,3680
Aberdeen City,CHN03,2011-12,2185.71,7956,3640
Aberdeen City,CHN03,2012-13,2866.54,10589,3694
Aberdeen City,CHN03,2013-14,2672.49,10861,4064
Aberdeen City,CHN03,2014-15,3838.37,13845,3607
Aberdeen City,CHN03,2015-16,4654.16,16378,3519
Aberdeen City,CHN03,2016-17,5026.27,18562,3693
Aberdeen City,CHN03,2017-18,4540.15,15718,3462
Aberdeen City,CHN03,2018-19,4398.61,15769,3585
Aberdeen City,CHN03,2019-20,7315.83,26754,3657
Aberdeen City,CHN03,2020-21,10469.04,35333,3375
Aberdeen City,CHN03,2021-22,10203.61,35029,3433
Aberdeen City,CHN04,2011-12,0.47,,
Aberdeen City,CHN04,2012-13,0.48,,
Aberdeen City,CHN04,2013-14,0.49,,
Aberdeen City,CHN04,2014-15,0.52,,
Aberdeen City,CHN04,2015-16,0.55,,
Aberdeen City,CHN04,2016-17,0.57,,
Aberdeen City,CHN04,2017-18,0.58,,
Aberdeen City,CHN04,2018-19,0.58,,
Aberdeen City,CHN04,2019-20,0.6,,
Aberdeen City,CHN04,2020-21,0.63,,
Aberdeen City,CHN04,2021-22,0.7,,
Aberdeen City,CHN05,2011-12,0.27,,
Aberdeen City,CHN05,2012-13,0.25,,
Aberdeen City,CHN05,2013-14,0.27,,
Aberdeen City,CHN05,2014-15,0.3,,
Aberdeen City,CHN05,2015-16,0.32,,
Aberdeen City,CHN05,2016-17,0.32,,
Aberdeen City,CHN05,2017-18,0.32,,
Aberdeen City,CHN05,2018-19,0.31,,
Aberdeen City,CHN05,2019-20,0.36,,
Aberdeen City,CHN05,2020-21,0.37,,
Aberdeen City,CHN05,2021-22,0.39,,
Aberdeen City,CHN06,2011-12,0.16,,
Aberdeen City,CHN06,2012-13,0.24,,
Aberdeen City,CHN06,2013-14,0.22,,
Aberdeen City,CHN06,2014-15,0.22,,
Aberdeen City,CHN06,2015-16,0.33,,
Aberdeen City,CHN06,2016-17,0.3,,
Aberdeen City,CHN06,2017-18,0.29,,
Aberdeen City,CHN06,2018-19,0.32,,
Aberdeen City,CHN06,2019-20,0.37,,
Aberdeen City,CHN06,2020-21,0.43,,
Aberdeen City,CHN06,2021-22,0.48,,
Aberdeen City,CHN07,2011-12,0.05,,
