Code,LocalAuthority,Year,LA_IndicatorReal,LA_Numerator_real,LA_Den_Real,Scotland_Indicator_Real,Scotland_Num_Real,Scotland_Den_Real,FG_Avg_Indicator_Real,FG_Avg_Num_Real,FG_Avg_Den_Real,FamilyGroup
C&L01,Aberdeen City,2010-11,0.406679401,785.0187987,1922292,4.374884466,198956.0517,45459818,4.285538234,10653.67251,2200418.875,Urban
C&L01,Aberdeen City,2011-12,0.922524281,1886.603428,2045051,3.916959065,188806.0265,48202343,4.175468725,10198.31163,2355970.75,Urban
C&L01,Aberdeen City,2012-13,4.335545113,9381.043169,2163756,3.734559758,192795.1341,51624697,4.353732323,11272.60325,2601296.5,Urban
C&L01,Aberdeen City,2013-14,4.044078167,8988.323761,2222588,3.710667178,197855.9712,53320837,4.355360867,11913.65901,2660076.25,Urban
C&L01,Aberdeen City,2014-15,3.476122401,8645.573117,2487138,3.408087309,179623.6567,52705262,4.064668521,10315.28321,2672126.125,Urban
C&L01,Aberdeen City,2015-16,3.576911507,9118.070813,2549135,3.336122869,177096.5505,53084305,3.959840213,10284.54834,2631837.625,Urban
C&L01,Aberdeen City,2016-17,3.764975989,9022.588442,2396458,3.244025621,175314.3718,54042338,3.684837512,9674.825435,2702731.625,Urban
C&L01,Aberdeen City,2017-18,3.51515641,8767.620763,2494247,2.987480475,161301.3605,53992733,3.495988011,9382.574231,2680088,Urban
C&L01,Aberdeen City,2018-19,3.83741636,8554.495867,2229239,2.816481408,153571.2585,54526069,3.264453597,9077.495213,2702450.375,Urban
C&L01,Aberdeen City,2019-20,3.636288139,4163.802921,1145072,2.885778339,150191.5886,52045545,3.254458604,8671.587619,2508488.875,Urban
C&L01,Aberdeen City,2020-21,28.40821458,7216.858869,254040,41.36002281,188666.6714,4561548,68.69022771,11504.30626,200665.375,Urban
C&L01,Aberdeen City,2021-22,4.797765667,6882.381924,1434492,6.433922572,170577.7577,26512151,6.811565977,10617.45799,1355678.25,Urban
C&L01,Aberdeenshire,2010-11,5.52098096,6951.791277,1260286,4.374884466,198956.0517,45459818,3.710949535,3790.919862,923124.125,Rural
C&L01,Aberdeenshire,2011-12,3.501223083,6646.817097,1898433,3.916959065,188806.0265,48202343,3.689640976,3901.135322,1036476,Rural
C&L01,Aberdeenshire,2012-13,3.712267118,7498.408348,2019904,3.734559758,192795.1341,51624697,3.297380881,3775.533691,1065939,Rural
C&L01,Aberdeenshire,2013-14,3.700061656,7501.51587,2027402,3.710667178,197855.9712,53320837,3.179201173,3436.061899,1040247.5,Rural
C&L01,Aberdeenshire,2014-15,3.96130022,7362.021222,1858491,3.408087309,179623.6567,52705262,3.403018726,3508.777729,993567.375,Rural
C&L01,Aberdeenshire,2015-16,3.78563955,7098.31011,1875054,3.336122869,177096.5505,53084305,3.280510402,3359.409567,1012156.625,Rural
C&L01,Aberdeenshire,2016-17,5.320649542,11146.86577,2095024,3.244025621,175314.3718,54042338,3.049461266,3348.392139,1006353.5,Rural
C&L01,Aberdeenshire,2017-18,2.797889576,6380.348317,2280427,2.987480475,161301.3605,53992733,2.579890421,2731.294672,1072249,Rural
C&L01,Aberdeenshire,2018-19,2.702020207,6111.586273,2261864,2.816481408,153571.2585,54526069,2.534322869,2733.85409,1100968.875,Rural
C&L01,Aberdeenshire,2019-20,3.14172027,6973.052234,2219506,2.885778339,150191.5886,52045545,2.508512822,2876.186398,1115131,Rural
C&L01,Aberdeenshire,2020-21,30.81283181,8601.321698,279146,41.36002281,188666.6714,4561548,23.98415765,3339.028773,144847.375,Rural
C&L01,Aberdeenshire,2021-22,5.968626993,7080.220429,1186235,6.433922572,170577.7577,26512151,5.430648448,3186.398948,585801,Rural
C&L01,Angus,2010-11,2.41542917,3788.301079,1568948,4.374884466,198956.0517,45459818,3.814159837,5283.780376,1393280.5,3
C&L01,Angus,2011-12,2.133204077,3093.349765,1450100,3.916959065,188806.0265,48202343,3.33797627,4860.219433,1415648.375,3
C&L01,Angus,2012-13,2.12164737,2827.522335,1332704,3.734559758,192795.1341,51624697,3.362487917,4626.408468,1456944.25,3
C&L01,Angus,2013-14,1.813519287,2777.003471,1531278,3.710667178,197855.9712,53320837,3.299995638,5044.443674,1615756.625,3
