LocalAuthority,IndicatorCode,Year,IndicatorCash_LA,NumeratorCash_LA,DenominatorCash_LA
Aberdeen City,C&L01,2010-11,0.33,637.00,1922292.00
Aberdeen City,C&L01,2011-12,0.76,1554.00,2045051.00
Aberdeen City,C&L01,2012-13,3.64,7883.00,2163756.00
Aberdeen City,C&L01,2013-14,3.48,7726.00,2222588.00
Aberdeen City,C&L01,2014-15,3.02,7517.00,2487138.00
Aberdeen City,C&L01,2015-16,3.13,7977.00,2549135.00
Aberdeen City,C&L01,2016-17,3.37,8070.00,2396458.00
Aberdeen City,C&L01,2017-18,3.20,7977.00,2494247.00
Aberdeen City,C&L01,2018-19,3.56,7935.00,2229239.00
Aberdeen City,C&L01,2019-20,3.45,3950.00,1145072.00
Aberdeen City,C&L01,2020-21,27.68,7032.00,254040.00
Aberdeen City,C&L01,2021-22,4.80,6888.00,1434492.00
Aberdeen City,C&L02,2010-11,3.60,5695.00,1582483.00
Aberdeen City,C&L02,2011-12,2.47,3875.00,1570220.00
Aberdeen City,C&L02,2012-13,2.98,4413.00,1478728.00
Aberdeen City,C&L02,2013-14,2.46,4051.00,1647002.00
Aberdeen City,C&L02,2014-15,2.66,4060.00,1525986.00
Aberdeen City,C&L02,2015-16,3.57,3911.00,1094948.00
Aberdeen City,C&L02,2016-17,3.02,4463.00,1477706.00
Aberdeen City,C&L02,2017-18,2.82,4118.00,1461623.00
Aberdeen City,C&L02,2018-19,2.67,3824.00,1429729.00
Aberdeen City,C&L02,2019-20,2.17,3764.00,1736063.00
Aberdeen City,C&L02,2020-21,10.74,3225.00,300291.00
Aberdeen City,C&L02,2021-22,2.45,3300.00,1347180.00
Aberdeen City,C&L03,2010-11,5.02,3528.00,703201.00
Aberdeen City,C&L03,2011-12,2.72,2624.00,966093.00
Aberdeen City,C&L03,2012-13,4.11,3292.00,801684.00
Aberdeen City,C&L03,2013-14,2.31,2579.00,1114535.00
Aberdeen City,C&L03,2014-15,2.37,2548.00,1075225.00
Aberdeen City,C&L03,2015-16,1.85,2649.00,1429835.00
Aberdeen City,C&L03,2016-17,2.29,3143.00,1369758.00
Aberdeen City,C&L03,2017-18,3.85,3248.00,844045.00
Aberdeen City,C&L03,2018-19,3.00,2909.00,968414.00
Aberdeen City,C&L03,2019-20,2.79,3150.00,1130980.00
Aberdeen City,C&L03,2020-21,16.43,3111.00,189298.00
Aberdeen City,C&L03,2021-22,3.13,3722.00,1190854.00
Aberdeen City,C&L04,2010-11,21412.12,4649.00,217120.00
Aberdeen City,C&L04,2011-12,13868.98,3057.00,220420.00
Aberdeen City,C&L04,2012-13,15344.27,3452.00,224970.00
Aberdeen City,C&L04,2013-14,17228.02,3913.00,227130.00
Aberdeen City,C&L04,2014-15,18026.99,4128.00,228990.00
Aberdeen City,C&L04,2015-16,18415.45,4242.00,230350.00
Aberdeen City,C&L04,2016-17,17855.90,4104.00,229840.00
Aberdeen City,C&L04,2017-18,12465.03,2852.00,228800.00
Aberdeen City,C&L04,2018-19,11763.93,2677.00,227560.00
Aberdeen City,C&L04,2019-20,12918.18,2954.00,228670.00
Aberdeen City,C&L04,2020-21,12795.77,2931.00,229060.00
Aberdeen City,C&L04,2021-22,14281.32,3248.00,227430.00
Aberdeen City,C&L05a,2010-14,0.73,,
Aberdeen City,C&L05a,2012-15,0.71,,
Aberdeen City,C&L05a,2013-16,0.71,,
Aberdeen City,C&L05a,2014-17,0.74,,
Aberdeen City,C&L05a,2015-18,0.72,,
Aberdeen City,C&L05a,2016-19,0.73,,
Aberdeen City,C&L05a,2017-20,0.73,,
Aberdeen City,C&L05a,2018-21,0.72,,
Aberdeen City,C&L05a,2019-22,0.73,,
Aberdeen City,C&L05b,2010-14,0.87,,
Aberdeen City,C&L05b,2012-15,0.84,,
Aberdeen City,C&L05b,2013-16,0.83,,
Aberdeen City,C&L05b,2014-17,0.86,,
Aberdeen City,C&L05b,2015-18,0.88,,
Aberdeen City,C&L05b,2016-19,0.89,,
Aberdeen City,C&L05b,2017-20,0.88,,
Aberdeen City,C&L05b,2018-21,0.89,,
Aberdeen City,C&L05b,2019-22,0.89,,
Aberdeen City,C&L05c,2010-14,0.73,,
Aberdeen City,C&L05c,2012-15,0.71,,
Aberdeen City,C&L05c,2013-16,0.69,,
Aberdeen City,C&L05c,2014-17,0.68,,
Aberdeen City,C&L05c,2015-18,0.68,,
Aberdeen City,C&L05c,2016-19,0.67,,
Aberdeen City,C&L05c,2017-20,0.68,,
Aberdeen City,C&L05c,2018-21,0.70,,
Aberdeen City,C&L05c,2019-22,0.77,,
Aberdeen City,C&L05d,2010-14,0.65,,
Aberdeen City,C&L05d,2012-15,0.70,,
Aberdeen City,C&L05d,2013-16,0.70,,
Aberdeen City,C&L05d,2014-17,0.71,,
Aberdeen City,C&L05d,2015-18,0.71,,
Aberdeen City,C&L05d,2016-19,0.72,,
Aberdeen City,C&L05d,2017-20,0.71,,
Aberdeen City,C&L05d,2018-21,0.73,,
Aberdeen City,C&L05d,2019-22,0.74,,
Aberdeen City,CHN01,2010-11,4960.34,59028.00,11900.00
Aberdeen City,CHN01,2011-12,4880.22,58343.00,11955.00
Aberdeen City,CHN01,2012-13,4958.13,60747.00,12252.00
Aberdeen City,CHN01,2013-14,4867.01,61558.00,12648.00
Aberdeen City,CHN01,2014-15,5216.42,68043.00,13044.00
Aberdeen City,CHN01,2015-16,5071.59,67721.00,13353.00
Aberdeen City,CHN01,2016-17,4957.68,67940.00,13704.00
Aberdeen City,CHN01,2017-18,5161.53,71864.00,13923.00
Aberdeen City,CHN01,2018-19,5165.73,72315.00,13999.00
Aberdeen City,CHN01,2019-20,5367.01,74682.00,13915.00
Aberdeen City,CHN01,2020-21,5774.76,80633.00,13963.00
Aberdeen City,CHN01,2021-22,5907.70,83204.00,14084.00
Aberdeen City,CHN02,2010-11,7025.87,65720.00,9354.00
Aberdeen City,CHN02,2011-12,6574.22,60805.00,9249.00
Aberdeen City,CHN02,2012-13,6858.23,61971.00,9036.00
Aberdeen City,CHN02,2013-14,7068.67,62586.00,8854.00
Aberdeen City,CHN02,2014-15,7313.22,64722.00,8850.00
Aberdeen City,CHN02,2015-16,7458.24,65282.00,8753.00
Aberdeen City,CHN02,2016-17,7378.05,63857.00,8655.00
Aberdeen City,CHN02,2017-18,7272.53,63031.00,8667.00
Aberdeen City,CHN02,2018-19,7444.71,66444.00,8925.00
Aberdeen City,CHN02,2019-20,7712.06,70226.00,9106.00
