Code,LocalAuthority,Year,Indicator,Numerator,Denominator
C&L01,Aberdeen City,2010-11,0.33,637,1922292
C&L01,Aberdeen City,2011-12,0.76,1554,2045051
C&L01,Aberdeen City,2012-13,3.64,7883,2163756
C&L01,Aberdeen City,2013-14,3.48,7726,2222588
C&L01,Aberdeen City,2014-15,3.02,7517,2487138
C&L01,Aberdeen City,2015-16,3.13,7977,2549135
C&L01,Aberdeen City,2016-17,3.37,8070,2396458
C&L01,Aberdeen City,2017-18,3.2,7977,2494247
C&L01,Aberdeen City,2018-19,3.56,7935,2229239
C&L01,Aberdeen City,2019-20,3.45,3950,1145072
C&L01,Aberdeen City,2020-21,27.68,7032,254040
C&L01,Aberdeen City,2021-22,4.8,6888,1434492
C&L02,Aberdeen City,2010-11,3.6,5695,1582483
C&L02,Aberdeen City,2011-12,2.47,3875,1570220
C&L02,Aberdeen City,2012-13,2.98,4413,1478728
C&L02,Aberdeen City,2013-14,2.46,4051,1647002
C&L02,Aberdeen City,2014-15,2.66,4060,1525986
C&L02,Aberdeen City,2015-16,3.57,3911,1094948
C&L02,Aberdeen City,2016-17,3.02,4463,1477706
C&L02,Aberdeen City,2017-18,2.82,4118,1461623
C&L02,Aberdeen City,2018-19,2.67,3824,1429729
C&L02,Aberdeen City,2019-20,2.17,3764,1736063
C&L02,Aberdeen City,2020-21,10.74,3225,300291
C&L02,Aberdeen City,2021-22,2.45,3300,1347180
C&L03,Aberdeen City,2010-11,5.02,3528,703201
C&L03,Aberdeen City,2011-12,2.72,2624,966093
C&L03,Aberdeen City,2012-13,4.11,3292,801684
C&L03,Aberdeen City,2013-14,2.31,2579,1114535
C&L03,Aberdeen City,2014-15,2.37,2548,1075225
C&L03,Aberdeen City,2015-16,1.85,2649,1429835
C&L03,Aberdeen City,2016-17,2.29,3143,1369758
C&L03,Aberdeen City,2017-18,3.85,3248,844045
C&L03,Aberdeen City,2018-19,3,2909,968414
C&L03,Aberdeen City,2019-20,2.79,3150,1130980
C&L03,Aberdeen City,2020-21,16.43,3111,189298
C&L03,Aberdeen City,2021-22,3.13,3722,1190854
C&L04,Aberdeen City,2010-11,21412.12,4649,217120
C&L04,Aberdeen City,2011-12,13868.98,3057,220420
C&L04,Aberdeen City,2012-13,15344.27,3452,224970
C&L04,Aberdeen City,2013-14,17228.02,3913,227130
C&L04,Aberdeen City,2014-15,18026.99,4128,228990
C&L04,Aberdeen City,2015-16,18415.45,4242,230350
C&L04,Aberdeen City,2016-17,17855.9,4104,229840
C&L04,Aberdeen City,2017-18,12465.03,2852,228800
C&L04,Aberdeen City,2018-19,11763.93,2677,227560
C&L04,Aberdeen City,2019-20,12918.18,2954,228670
C&L04,Aberdeen City,2020-21,12795.77,2931,229060
C&L04,Aberdeen City,2021-22,14281.32,3248,227430
C&L05a,Aberdeen City,2010-14,0.73,,
C&L05a,Aberdeen City,2012-15,0.71,,
C&L05a,Aberdeen City,2013-16,0.71,,
C&L05a,Aberdeen City,2014-17,0.74,,
C&L05a,Aberdeen City,2015-18,0.72,,
C&L05a,Aberdeen City,2016-19,0.73,,
C&L05a,Aberdeen City,2017-20,0.73,,
C&L05a,Aberdeen City,2018-21,0.72,,
C&L05a,Aberdeen City,2019-22,0.73,,
C&L05b,Aberdeen City,2010-14,0.87,,
C&L05b,Aberdeen City,2012-15,0.84,,
C&L05b,Aberdeen City,2013-16,0.83,,
C&L05b,Aberdeen City,2014-17,0.86,,
C&L05b,Aberdeen City,2015-18,0.88,,
C&L05b,Aberdeen City,2016-19,0.89,,
C&L05b,Aberdeen City,2017-20,0.88,,
C&L05b,Aberdeen City,2018-21,0.89,,
C&L05b,Aberdeen City,2019-22,0.89,,
C&L05c,Aberdeen City,2010-14,0.73,,
C&L05c,Aberdeen City,2012-15,0.71,,
C&L05c,Aberdeen City,2013-16,0.69,,
C&L05c,Aberdeen City,2014-17,0.68,,
C&L05c,Aberdeen City,2015-18,0.68,,
C&L05c,Aberdeen City,2016-19,0.67,,
C&L05c,Aberdeen City,2017-20,0.68,,
C&L05c,Aberdeen City,2018-21,0.7,,
C&L05c,Aberdeen City,2019-22,0.77,,
C&L05d,Aberdeen City,2010-14,0.65,,
C&L05d,Aberdeen City,2012-15,0.7,,
C&L05d,Aberdeen City,2013-16,0.7,,
C&L05d,Aberdeen City,2014-17,0.71,,
C&L05d,Aberdeen City,2015-18,0.71,,
C&L05d,Aberdeen City,2016-19,0.72,,
C&L05d,Aberdeen City,2017-20,0.71,,
