,,Edinburgh St Leonards,
Date,Time,Nitrogen dioxide,Status
01/03/2017,01:00:00,No data,V ugm-3
01/03/2017,02:00:00,No data,V ugm-3
01/03/2017,03:00:00,No data,V ugm-3
01/03/2017,04:00:00,No data,V ugm-3
01/03/2017,05:00:00,No data,V ugm-3
01/03/2017,06:00:00,No data,V ugm-3
01/03/2017,07:00:00,No data,V ugm-3
01/03/2017,08:00:00,No data,V ugm-3
01/03/2017,09:00:00,56.68969,V ugm-3
01/03/2017,10:00:00,51.44434,V ugm-3
01/03/2017,11:00:00,36.05493,V ugm-3
01/03/2017,12:00:00,32.89213,V ugm-3
01/03/2017,13:00:00,25.69253,V ugm-3
01/03/2017,14:00:00,27.41808,V ugm-3
01/03/2017,15:00:00,39.65043,V ugm-3
01/03/2017,16:00:00,39.05468,V ugm-3
01/03/2017,17:00:00,41.1723,V ugm-3
01/03/2017,18:00:00,40.33032,V ugm-3
01/03/2017,19:00:00,37.76566,V ugm-3
01/03/2017,20:00:00,39.88471,V ugm-3
01/03/2017,21:00:00,36.28586,V ugm-3
01/03/2017,22:00:00,46.78692,V ugm-3
01/03/2017,23:00:00,42.93945,V ugm-3
01/03/2017,24:00:00,34.70662,V ugm-3
02/03/2017,01:00:00,32.0433,V ugm-3
02/03/2017,02:00:00,14.45802,V ugm-3
02/03/2017,03:00:00,19.49124,V ugm-3
02/03/2017,04:00:00,28.62056,V ugm-3
02/03/2017,05:00:00,19.49124,V ugm-3
02/03/2017,06:00:00,18.40733,V ugm-3
02/03/2017,07:00:00,24.47809,V ugm-3
02/03/2017,08:00:00,35.48453,V ugm-3
02/03/2017,09:00:00,38.6478,V ugm-3
02/03/2017,10:00:00,37.46683,V ugm-3
02/03/2017,11:00:00,26.26197,V ugm-3
02/03/2017,12:00:00,29.61841,V ugm-3
02/03/2017,13:00:00,23.9904,V ugm-3
02/03/2017,14:00:00,23.74273,V ugm-3
02/03/2017,15:00:00,14.31506,V ugm-3
02/03/2017,16:00:00,14.85678,V ugm-3
02/03/2017,17:00:00,14.8563,V ugm-3
02/03/2017,18:00:00,15.39802,V ugm-3
02/03/2017,19:00:00,17.02651,V ugm-3
02/03/2017,20:00:00,17.17473,V ugm-3
02/03/2017,21:00:00,20.77644,V ugm-3
02/03/2017,22:00:00,13.76904,V ugm-3
02/03/2017,23:00:00,11.94117,V ugm-3
02/03/2017,24:00:00,18.06117,V ugm-3
03/03/2017,01:00:00,21.58193,V ugm-3
03/03/2017,02:00:00,20.03487,V ugm-3
03/03/2017,03:00:00,18.65261,V ugm-3
03/03/2017,04:00:00,14.95145,V ugm-3
03/03/2017,05:00:00,20.32988,V ugm-3
03/03/2017,06:00:00,42.98153,V ugm-3
03/03/2017,07:00:00,66.06158,V ugm-3
03/03/2017,08:00:00,73.83111,V ugm-3
03/03/2017,09:00:00,78.65778,V ugm-3
03/03/2017,10:00:00,61.14263,V ugm-3
03/03/2017,11:00:00,46.36856,V ugm-3
03/03/2017,12:00:00,29.07956,V ugm-3
03/03/2017,13:00:00,18.75971,V ugm-3
03/03/2017,14:00:00,11.50417,V ugm-3
03/03/2017,15:00:00,13.23115,V ugm-3
03/03/2017,16:00:00,15.6476,V ugm-3
03/03/2017,17:00:00,14.56082,V ugm-3
03/03/2017,18:00:00,11.79773,V ugm-3
03/03/2017,19:00:00,12.04301,V ugm-3
03/03/2017,20:00:00,11.00739,V ugm-3
03/03/2017,21:00:00,8.7363,V ugm-3
03/03/2017,22:00:00,9.07959,V ugm-3
