,,Chatham Roadside,
Date,Time,Nitrogen dioxide,Status
01/03/2017,01:00:00,4.41596,V ugm-3
01/03/2017,02:00:00,2.82604,V ugm-3
01/03/2017,03:00:00,3.31484,V ugm-3
01/03/2017,04:00:00,3.31149,V ugm-3
01/03/2017,05:00:00,5.53478,V ugm-3
01/03/2017,06:00:00,13.58114,V ugm-3
01/03/2017,07:00:00,29.27033,V ugm-3
01/03/2017,08:00:00,48.65209,V ugm-3
01/03/2017,09:00:00,73.88466,V ugm-3
01/03/2017,10:00:00,34.99827,V ugm-3
01/03/2017,11:00:00,38.79841,V ugm-3
01/03/2017,12:00:00,No data,V ugm-3
01/03/2017,13:00:00,38.77307,V ugm-3
01/03/2017,14:00:00,25.06475,V ugm-3
01/03/2017,15:00:00,36.38483,V ugm-3
01/03/2017,16:00:00,75.90043,V ugm-3
01/03/2017,17:00:00,63.74793,V ugm-3
01/03/2017,18:00:00,59.85264,V ugm-3
01/03/2017,19:00:00,51.98558,V ugm-3
01/03/2017,20:00:00,52.12662,V ugm-3
01/03/2017,21:00:00,29.72121,V ugm-3
01/03/2017,22:00:00,17.99376,V ugm-3
01/03/2017,23:00:00,7.59836,V ugm-3
01/03/2017,24:00:00,3.59359,V ugm-3
02/03/2017,01:00:00,No data,V ugm-3
02/03/2017,02:00:00,No data,V ugm-3
02/03/2017,03:00:00,No data,V ugm-3
02/03/2017,04:00:00,No data,V ugm-3
02/03/2017,05:00:00,No data,V ugm-3
02/03/2017,06:00:00,5.18048,V ugm-3
02/03/2017,07:00:00,9.16996,V ugm-3
02/03/2017,08:00:00,25.15703,V ugm-3
02/03/2017,09:00:00,21.18476,V ugm-3
02/03/2017,10:00:00,20.19791,V ugm-3
02/03/2017,11:00:00,20.38821,V ugm-3
02/03/2017,12:00:00,20.93279,V ugm-3
02/03/2017,13:00:00,24.93183,V ugm-3
02/03/2017,14:00:00,23.39227,V ugm-3
02/03/2017,15:00:00,26.1673,V ugm-3
02/03/2017,16:00:00,40.38674,V ugm-3
02/03/2017,17:00:00,47.06615,V ugm-3
02/03/2017,18:00:00,46.34561,V ugm-3
02/03/2017,19:00:00,36.81515,V ugm-3
02/03/2017,20:00:00,40.84383,V ugm-3
02/03/2017,21:00:00,27.12977,V ugm-3
02/03/2017,22:00:00,21.86657,V ugm-3
02/03/2017,23:00:00,23.4592,V ugm-3
02/03/2017,24:00:00,9.07625,V ugm-3
03/03/2017,01:00:00,8.02357,V ugm-3
03/03/2017,02:00:00,6.23475,V ugm-3
03/03/2017,03:00:00,6.02246,V ugm-3
03/03/2017,04:00:00,5.37556,V ugm-3
03/03/2017,05:00:00,11.34543,V ugm-3
03/03/2017,06:00:00,10.20175,V ugm-3
03/03/2017,07:00:00,10.24957,V ugm-3
03/03/2017,08:00:00,13.08437,V ugm-3
03/03/2017,09:00:00,11.67247,V ugm-3
03/03/2017,10:00:00,13.79917,V ugm-3
03/03/2017,11:00:00,10.50871,V ugm-3
03/03/2017,12:00:00,24.9586,V ugm-3
03/03/2017,13:00:00,13.57588,V ugm-3
03/03/2017,14:00:00,13.74083,V ugm-3
03/03/2017,15:00:00,28.85723,V ugm-3
03/03/2017,16:00:00,21.97367,V ugm-3
03/03/2017,17:00:00,19.15799,V ugm-3
03/03/2017,18:00:00,24.98299,V ugm-3
03/03/2017,19:00:00,23.7652,V ugm-3
03/03/2017,20:00:00,23.97128,V ugm-3
03/03/2017,21:00:00,19.114,V ugm-3
03/03/2017,22:00:00,20.26437,V ugm-3
03/03/2017,23:00:00,18.14197,V ugm-3
03/03/2017,24:00:00,17.00978,V ugm-3
04/03/2017,01:00:00,21.10316,V ugm-3
04/03/2017,02:00:00,18.36829,V ugm-3
04/03/2017,03:00:00,13.42718,V ugm-3
04/03/2017,04:00:00,15.48982,V ugm-3
04/03/2017,05:00:00,10.52305,V ugm-3
04/03/2017,06:00:00,9.01935,V ugm-3
04/03/2017,07:00:00,15.93304,V ugm-3
04/03/2017,08:00:00,27.32628,V ugm-3
04/03/2017,09:00:00,30.48429,V ugm-3
04/03/2017,10:00:00,38.91794,V ugm-3
04/03/2017,11:00:00,45.25883,V ugm-3
04/03/2017,12:00:00,38.68605,V ugm-3
04/03/2017,13:00:00,41.03173,V ugm-3
04/03/2017,14:00:00,25.91533,V ugm-3
04/03/2017,15:00:00,30.20316,V ugm-3
04/03/2017,16:00:00,27.05566,V ugm-3
04/03/2017,17:00:00,21.43673,V ugm-3
04/03/2017,18:00:00,26.92848,V ugm-3
04/03/2017,19:00:00,24.13527,V ugm-3
04/03/2017,20:00:00,30.11996,V ugm-3
04/03/2017,21:00:00,21.85318,V ugm-3
04/03/2017,22:00:00,11.78004,V ugm-3
04/03/2017,23:00:00,10.94333,V ugm-3
04/03/2017,24:00:00,8.10709,V ugm-3
05/03/2017,01:00:00,7.8183,V ugm-3
05/03/2017,02:00:00,4.89472,V ugm-3
05/03/2017,03:00:00,3.97178,V ugm-3
05/03/2017,04:00:00,2.87688,V ugm-3
05/03/2017,05:00:00,3.93353,V ugm-3
05/03/2017,06:00:00,2.08463,V ugm-3
05/03/2017,07:00:00,3.2785,V ugm-3
05/03/2017,08:00:00,4.75448,V ugm-3
05/03/2017,09:00:00,2.87688,V ugm-3
05/03/2017,10:00:00,4.37437,V ugm-3
05/03/2017,11:00:00,6.82332,V ugm-3
05/03/2017,12:00:00,12.33658,V ugm-3
05/03/2017,13:00:00,11.59358,V ugm-3
05/03/2017,14:00:00,17.17282,V ugm-3
05/03/2017,15:00:00,12.82905,V ugm-3
05/03/2017,16:00:00,10.93902,V ugm-3
