,,Edinburgh St Leonards,
Date,Time,PM10 particulate matter (Hourly measured),Status
01/03/2017,01:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,02:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,03:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,04:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,05:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,06:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,07:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,08:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,09:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,10:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,11:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,12:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,13:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,14:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,15:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,16:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,17:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,18:00:00,9.4,V ugm-3 (TEOM FDMS)
01/03/2017,19:00:00,2,V ugm-3 (TEOM FDMS)
01/03/2017,20:00:00,3.7,V ugm-3 (TEOM FDMS)
01/03/2017,21:00:00,4.7,V ugm-3 (TEOM FDMS)
01/03/2017,22:00:00,4.3,V ugm-3 (TEOM FDMS)
01/03/2017,23:00:00,4,V ugm-3 (TEOM FDMS)
01/03/2017,24:00:00,3.1,V ugm-3 (TEOM FDMS)
02/03/2017,01:00:00,3.3,V ugm-3 (TEOM FDMS)
02/03/2017,02:00:00,4.7,V ugm-3 (TEOM FDMS)
02/03/2017,03:00:00,2.2,V ugm-3 (TEOM FDMS)
02/03/2017,04:00:00,3.7,V ugm-3 (TEOM FDMS)
02/03/2017,05:00:00,1.3,V ugm-3 (TEOM FDMS)
02/03/2017,06:00:00,3.1,V ugm-3 (TEOM FDMS)
02/03/2017,07:00:00,2.7,V ugm-3 (TEOM FDMS)
02/03/2017,08:00:00,7.7,V ugm-3 (TEOM FDMS)
02/03/2017,09:00:00,8.4,V ugm-3 (TEOM FDMS)
02/03/2017,10:00:00,13.7,V ugm-3 (TEOM FDMS)
02/03/2017,11:00:00,20.4,V ugm-3 (TEOM FDMS)
02/03/2017,12:00:00,22,V ugm-3 (TEOM FDMS)
02/03/2017,13:00:00,16.2,V ugm-3 (TEOM FDMS)
02/03/2017,14:00:00,13.5,V ugm-3 (TEOM FDMS)
02/03/2017,15:00:00,9.5,V ugm-3 (TEOM FDMS)
02/03/2017,16:00:00,9.8,V ugm-3 (TEOM FDMS)
02/03/2017,17:00:00,9.3,V ugm-3 (TEOM FDMS)
02/03/2017,18:00:00,5.2,V ugm-3 (TEOM FDMS)
02/03/2017,19:00:00,5,V ugm-3 (TEOM FDMS)
02/03/2017,20:00:00,10.1,V ugm-3 (TEOM FDMS)
02/03/2017,21:00:00,12.9,V ugm-3 (TEOM FDMS)
02/03/2017,22:00:00,12,V ugm-3 (TEOM FDMS)
02/03/2017,23:00:00,9.5,V ugm-3 (TEOM FDMS)
02/03/2017,24:00:00,7.4,V ugm-3 (TEOM FDMS)
03/03/2017,01:00:00,1.4,V ugm-3 (TEOM FDMS)
03/03/2017,02:00:00,6.7,V ugm-3 (TEOM FDMS)
03/03/2017,03:00:00,2.1,V ugm-3 (TEOM FDMS)
03/03/2017,04:00:00,4.4,V ugm-3 (TEOM FDMS)
03/03/2017,05:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,06:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,07:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,08:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,09:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,10:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,11:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,12:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,13:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,14:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,15:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,16:00:00,12,V ugm-3 (TEOM FDMS)
03/03/2017,17:00:00,8.3,V ugm-3 (TEOM FDMS)
03/03/2017,18:00:00,5.9,V ugm-3 (TEOM FDMS)
03/03/2017,19:00:00,8.1,V ugm-3 (TEOM FDMS)
03/03/2017,20:00:00,8.8,V ugm-3 (TEOM FDMS)
03/03/2017,21:00:00,9.9,V ugm-3 (TEOM FDMS)
03/03/2017,22:00:00,7,V ugm-3 (TEOM FDMS)
03/03/2017,23:00:00,2.6,V ugm-3 (TEOM FDMS)
03/03/2017,24:00:00,2.8,V ugm-3 (TEOM FDMS)
04/03/2017,01:00:00,1.7,V ugm-3 (TEOM FDMS)
04/03/2017,02:00:00,6.5,V ugm-3 (TEOM FDMS)
04/03/2017,03:00:00,1.7,V ugm-3 (TEOM FDMS)
04/03/2017,04:00:00,3.3,V ugm-3 (TEOM FDMS)
04/03/2017,05:00:00,5.1,V ugm-3 (TEOM FDMS)
04/03/2017,06:00:00,5.7,V ugm-3 (TEOM FDMS)
04/03/2017,07:00:00,9.8,V ugm-3 (TEOM FDMS)
04/03/2017,08:00:00,6.9,V ugm-3 (TEOM FDMS)
04/03/2017,09:00:00,9.1,V ugm-3 (TEOM FDMS)
04/03/2017,10:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,11:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,12:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,13:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,14:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,15:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,16:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,17:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,18:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,19:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,20:00:00,No data,V ugm-3 (TEOM FDMS)
