,,Chatham Roadside,
Date,Time,PM10 Kent (Hourly measured),Status
01/03/2017,01:00:00,8.387,V ugm-3 (Ref.eq)
01/03/2017,02:00:00,7.44,V ugm-3 (Ref.eq)
01/03/2017,03:00:00,8.387,V ugm-3 (Ref.eq)
01/03/2017,04:00:00,10.744,V ugm-3 (Ref.eq)
01/03/2017,05:00:00,16.406,V ugm-3 (Ref.eq)
01/03/2017,06:00:00,16.648,V ugm-3 (Ref.eq)
01/03/2017,07:00:00,19.237,V ugm-3 (Ref.eq)
01/03/2017,08:00:00,16.648,V ugm-3 (Ref.eq)
01/03/2017,09:00:00,21.363,V ugm-3 (Ref.eq)
01/03/2017,10:00:00,18.3,V ugm-3 (Ref.eq)
01/03/2017,11:00:00,37.633,V ugm-3 (Ref.eq)
01/03/2017,12:00:00,48.957,V ugm-3 (Ref.eq)
01/03/2017,13:00:00,40.001,V ugm-3 (Ref.eq)
01/03/2017,14:00:00,36.928,V ugm-3 (Ref.eq)
01/03/2017,15:00:00,33.865,V ugm-3 (Ref.eq)
01/03/2017,16:00:00,20.184,V ugm-3 (Ref.eq)
01/03/2017,17:00:00,31.981,V ugm-3 (Ref.eq)
01/03/2017,18:00:00,30.561,V ugm-3 (Ref.eq)
01/03/2017,19:00:00,22.773,V ugm-3 (Ref.eq)
01/03/2017,20:00:00,17.353,V ugm-3 (Ref.eq)
01/03/2017,21:00:00,14.754,V ugm-3 (Ref.eq)
01/03/2017,22:00:00,7.913,V ugm-3 (Ref.eq)
01/03/2017,23:00:00,11.459,V ugm-3 (Ref.eq)
01/03/2017,24:00:00,9.333,V ugm-3 (Ref.eq)
02/03/2017,01:00:00,14.754,V ugm-3 (Ref.eq)
02/03/2017,02:00:00,17.585,V ugm-3 (Ref.eq)
02/03/2017,03:00:00,19.237,V ugm-3 (Ref.eq)
02/03/2017,04:00:00,15.227,V ugm-3 (Ref.eq)
02/03/2017,05:00:00,14.049,V ugm-3 (Ref.eq)
02/03/2017,06:00:00,22.31,V ugm-3 (Ref.eq)
02/03/2017,07:00:00,30.087,V ugm-3 (Ref.eq)
02/03/2017,08:00:00,35.991,V ugm-3 (Ref.eq)
02/03/2017,09:00:00,38.58,V ugm-3 (Ref.eq)
02/03/2017,10:00:00,30.802,V ugm-3 (Ref.eq)
02/03/2017,11:00:00,23.488,V ugm-3 (Ref.eq)
02/03/2017,12:00:00,25.141,V ugm-3 (Ref.eq)
02/03/2017,13:00:00,23.488,V ugm-3 (Ref.eq)
02/03/2017,14:00:00,28.203,V ugm-3 (Ref.eq)
02/03/2017,15:00:00,27.498,V ugm-3 (Ref.eq)
02/03/2017,16:00:00,26.793,V ugm-3 (Ref.eq)
02/03/2017,17:00:00,29.614,V ugm-3 (Ref.eq)
02/03/2017,18:00:00,28.909,V ugm-3 (Ref.eq)
02/03/2017,19:00:00,34.339,V ugm-3 (Ref.eq)
