areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,30/01/2020,1
K02000001,United Kingdom,overview,31/01/2020,0
K02000001,United Kingdom,overview,01/02/2020,0
K02000001,United Kingdom,overview,02/02/2020,1
K02000001,United Kingdom,overview,03/02/2020,18
K02000001,United Kingdom,overview,04/02/2020,0
K02000001,United Kingdom,overview,05/02/2020,1
K02000001,United Kingdom,overview,06/02/2020,0
K02000001,United Kingdom,overview,07/02/2020,0
K02000001,United Kingdom,overview,08/02/2020,3
K02000001,United Kingdom,overview,09/02/2020,1
K02000001,United Kingdom,overview,10/02/2020,1
K02000001,United Kingdom,overview,11/02/2020,4
K02000001,United Kingdom,overview,12/02/2020,1
K02000001,United Kingdom,overview,13/02/2020,1
K02000001,United Kingdom,overview,14/02/2020,0
K02000001,United Kingdom,overview,15/02/2020,0
K02000001,United Kingdom,overview,16/02/2020,0
K02000001,United Kingdom,overview,17/02/2020,1
K02000001,United Kingdom,overview,18/02/2020,0
K02000001,United Kingdom,overview,19/02/2020,0
K02000001,United Kingdom,overview,20/02/2020,0
K02000001,United Kingdom,overview,21/02/2020,2
K02000001,United Kingdom,overview,22/02/2020,0
K02000001,United Kingdom,overview,23/02/2020,6
K02000001,United Kingdom,overview,24/02/2020,2
K02000001,United Kingdom,overview,25/02/2020,3
K02000001,United Kingdom,overview,26/02/2020,2
K02000001,United Kingdom,overview,27/02/2020,8
K02000001,United Kingdom,overview,28/02/2020,12
K02000001,United Kingdom,overview,29/02/2020,4
K02000001,United Kingdom,overview,01/03/2020,20
K02000001,United Kingdom,overview,02/03/2020,41
K02000001,United Kingdom,overview,03/03/2020,57
K02000001,United Kingdom,overview,04/03/2020,56
K02000001,United Kingdom,overview,05/03/2020,49
K02000001,United Kingdom,overview,06/03/2020,83
K02000001,United Kingdom,overview,07/03/2020,68
K02000001,United Kingdom,overview,08/03/2020,55
K02000001,United Kingdom,overview,09/03/2020,148
K02000001,United Kingdom,overview,10/03/2020,265
K02000001,United Kingdom,overview,11/03/2020,402
K02000001,United Kingdom,overview,12/03/2020,483
K02000001,United Kingdom,overview,13/03/2020,478
K02000001,United Kingdom,overview,14/03/2020,352
K02000001,United Kingdom,overview,15/03/2020,441
K02000001,United Kingdom,overview,16/03/2020,602
K02000001,United Kingdom,overview,17/03/2020,783
K02000001,United Kingdom,overview,18/03/2020,981
K02000001,United Kingdom,overview,19/03/2020,0
K02000001,United Kingdom,overview,20/03/2020,0
K02000001,United Kingdom,overview,21/03/2020,0
K02000001,United Kingdom,overview,22/03/2020,0
K02000001,United Kingdom,overview,23/03/2020,2290
K02000001,United Kingdom,overview,24/03/2020,2354
K02000001,United Kingdom,overview,25/03/2020,2666
K02000001,United Kingdom,overview,26/03/2020,3039
K02000001,United Kingdom,overview,27/03/2020,3154
K02000001,United Kingdom,overview,28/03/2020,2774
K02000001,United Kingdom,overview,29/03/2020,2818
K02000001,United Kingdom,overview,30/03/2020,4195
K02000001,United Kingdom,overview,31/03/2020,4463
K02000001,United Kingdom,overview,01/04/2020,4891
K02000001,United Kingdom,overview,02/04/2020,4824
K02000001,United Kingdom,overview,03/04/2020,4852
K02000001,United Kingdom,overview,04/04/2020,3976
K02000001,United Kingdom,overview,05/04/2020,3556
K02000001,United Kingdom,overview,06/04/2020,5273
K02000001,United Kingdom,overview,07/04/2020,5477
K02000001,United Kingdom,overview,08/04/2020,5146
K02000001,United Kingdom,overview,09/04/2020,4875
K02000001,United Kingdom,overview,10/04/2020,4327
K02000001,United Kingdom,overview,11/04/2020,3585
K02000001,United Kingdom,overview,12/04/2020,3507
K02000001,United Kingdom,overview,13/04/2020,4203
K02000001,United Kingdom,overview,14/04/2020,4335
K02000001,United Kingdom,overview,15/04/2020,5070
K02000001,United Kingdom,overview,16/04/2020,5292
K02000001,United Kingdom,overview,17/04/2020,4977
K02000001,United Kingdom,overview,18/04/2020,4743
K02000001,United Kingdom,overview,19/04/2020,3881
K02000001,United Kingdom,overview,20/04/2020,4441
K02000001,United Kingdom,overview,21/04/2020,4795
K02000001,United Kingdom,overview,22/04/2020,5517
K02000001,United Kingdom,overview,23/04/2020,5167
K02000001,United Kingdom,overview,24/04/2020,4961
K02000001,United Kingdom,overview,25/04/2020,3757
K02000001,United Kingdom,overview,26/04/2020,3476
K02000001,United Kingdom,overview,27/04/2020,4739
K02000001,United Kingdom,overview,28/04/2020,4720
K02000001,United Kingdom,overview,29/04/2020,5433
K02000001,United Kingdom,overview,30/04/2020,4961
K02000001,United Kingdom,overview,01/05/2020,4766
K02000001,United Kingdom,overview,02/05/2020,3258
K02000001,United Kingdom,overview,03/05/2020,3003
K02000001,United Kingdom,overview,04/05/2020,3398
K02000001,United Kingdom,overview,05/05/2020,3686
K02000001,United Kingdom,overview,06/05/2020,3832
K02000001,United Kingdom,overview,07/05/2020,3787
K02000001,United Kingdom,overview,08/05/2020,3064
K02000001,United Kingdom,overview,09/05/2020,2170
K02000001,United Kingdom,overview,10/05/2020,2337
K02000001,United Kingdom,overview,11/05/2020,3612
K02000001,United Kingdom,overview,12/05/2020,3410
K02000001,United Kingdom,overview,13/05/2020,3330
K02000001,United Kingdom,overview,14/05/2020,2630
K02000001,United Kingdom,overview,15/05/2020,2530
