areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
overview,United Kingdom,K02000001,22/03/2022,94524,20413731
overview,United Kingdom,K02000001,21/03/2022,226524,20319434
overview,United Kingdom,K02000001,20/03/2022,0,20093762
overview,United Kingdom,K02000001,19/03/2022,0,20093762
overview,United Kingdom,K02000001,18/03/2022,90349,20093762
overview,United Kingdom,K02000001,17/03/2022,89717,20001627
overview,United Kingdom,K02000001,16/03/2022,91345,19911155
overview,United Kingdom,K02000001,15/03/2022,109802,19820181
overview,United Kingdom,K02000001,14/03/2022,170985,19700952
overview,United Kingdom,K02000001,13/03/2022,0,19530485
overview,United Kingdom,K02000001,12/03/2022,0,19530485
overview,United Kingdom,K02000001,11/03/2022,72898,19530485
overview,United Kingdom,K02000001,10/03/2022,71259,19457976
overview,United Kingdom,K02000001,09/03/2022,67159,19373884
overview,United Kingdom,K02000001,08/03/2022,61900,19307014
overview,United Kingdom,K02000001,07/03/2022,126604,19245301
overview,United Kingdom,K02000001,06/03/2022,0,19119181
overview,United Kingdom,K02000001,05/03/2022,0,19119181
overview,United Kingdom,K02000001,04/03/2022,44740,19119181
overview,United Kingdom,K02000001,03/03/2022,45656,19074696
overview,United Kingdom,K02000001,02/03/2022,44017,19029321
overview,United Kingdom,K02000001,01/03/2022,39000,18985568
overview,United Kingdom,K02000001,28/02/2022,82451,18886701
overview,United Kingdom,K02000001,27/02/2022,0,18804765
overview,United Kingdom,K02000001,26/02/2022,0,18804765
overview,United Kingdom,K02000001,25/02/2022,31933,18804765
overview,United Kingdom,K02000001,24/02/2022,38933,18773164
overview,United Kingdom,K02000001,23/02/2022,39656,18734683
overview,United Kingdom,K02000001,22/02/2022,41130,18695448
overview,United Kingdom,K02000001,21/02/2022,38409,18654572
overview,United Kingdom,K02000001,20/02/2022,31170,18616433
overview,United Kingdom,K02000001,19/02/2022,39693,18585423
overview,United Kingdom,K02000001,18/02/2022,47685,18546205
overview,United Kingdom,K02000001,17/02/2022,51899,18499058
overview,United Kingdom,K02000001,16/02/2022,54218,18447706
overview,United Kingdom,K02000001,15/02/2022,46186,18393951
overview,United Kingdom,K02000001,14/02/2022,41648,18348029
overview,United Kingdom,K02000001,13/02/2022,41270,18306704
overview,United Kingdom,K02000001,12/02/2022,46025,18265918
overview,United Kingdom,K02000001,11/02/2022,58899,18220515
overview,United Kingdom,K02000001,10/02/2022,66638,18162199
overview,United Kingdom,K02000001,09/02/2022,68214,18000119
overview,United Kingdom,K02000001,08/02/2022,66183,17932803
overview,United Kingdom,K02000001,07/02/2022,57623,17866632
overview,United Kingdom,K02000001,06/02/2022,57337,17809459
overview,United Kingdom,K02000001,05/02/2022,63493,17752892
overview,United Kingdom,K02000001,04/02/2022,84053,17689885
overview,United Kingdom,K02000001,03/02/2022,88171,17607832
overview,United Kingdom,K02000001,02/02/2022,92594,17519708
overview,United Kingdom,K02000001,01/02/2022,112458,17428345
overview,United Kingdom,K02000001,31/01/2022,92368,17315893
overview,United Kingdom,K02000001,30/01/2022,69007,16478467
overview,United Kingdom,K02000001,29/01/2022,76069,16409459
