areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,18/03/2022,1879,768272
overview,United Kingdom,K02000001,17/03/2022,2004,766393
overview,United Kingdom,K02000001,16/03/2022,2067,764389
overview,United Kingdom,K02000001,15/03/2022,2077,762322
overview,United Kingdom,K02000001,14/03/2022,1946,760245
overview,United Kingdom,K02000001,13/03/2022,1806,758299
overview,United Kingdom,K02000001,12/03/2022,1600,756493
overview,United Kingdom,K02000001,11/03/2022,1705,754893
overview,United Kingdom,K02000001,10/03/2022,1667,753188
overview,United Kingdom,K02000001,09/03/2022,1786,751521
overview,United Kingdom,K02000001,08/03/2022,1670,749735
overview,United Kingdom,K02000001,07/03/2022,1503,748065
overview,United Kingdom,K02000001,06/03/2022,1436,746562
overview,United Kingdom,K02000001,05/03/2022,1223,745126
overview,United Kingdom,K02000001,04/03/2022,1335,743903
overview,United Kingdom,K02000001,03/03/2022,1438,742568
overview,United Kingdom,K02000001,02/03/2022,1426,741130
overview,United Kingdom,K02000001,01/03/2022,1336,739704
overview,United Kingdom,K02000001,28/02/2022,1383,738368
overview,United Kingdom,K02000001,27/02/2022,1089,736985
overview,United Kingdom,K02000001,26/02/2022,1072,735896
overview,United Kingdom,K02000001,25/02/2022,1092,734824
overview,United Kingdom,K02000001,24/02/2022,1201,733732
overview,United Kingdom,K02000001,23/02/2022,1224,732531
overview,United Kingdom,K02000001,22/02/2022,1168,731307
overview,United Kingdom,K02000001,21/02/2022,1225,730139
overview,United Kingdom,K02000001,20/02/2022,1127,728914
overview,United Kingdom,K02000001,19/02/2022,1006,727787
overview,United Kingdom,K02000001,18/02/2022,1091,726781
overview,United Kingdom,K02000001,17/02/2022,1174,725690
overview,United Kingdom,K02000001,16/02/2022,1358,724516
overview,United Kingdom,K02000001,15/02/2022,1360,723158
overview,United Kingdom,K02000001,14/02/2022,1343,721798
overview,United Kingdom,K02000001,13/02/2022,1183,720455
overview,United Kingdom,K02000001,12/02/2022,1143,719272
overview,United Kingdom,K02000001,11/02/2022,1178,718129
overview,United Kingdom,K02000001,10/02/2022,1341,716951
overview,United Kingdom,K02000001,09/02/2022,1424,715610
overview,United Kingdom,K02000001,08/02/2022,1471,714186
overview,United Kingdom,K02000001,07/02/2022,1433,712715
overview,United Kingdom,K02000001,06/02/2022,1349,711282
overview,United Kingdom,K02000001,05/02/2022,1240,709933
overview,United Kingdom,K02000001,04/02/2022,1411,708693
overview,United Kingdom,K02000001,03/02/2022,1481,707282
overview,United Kingdom,K02000001,02/02/2022,1647,705801
overview,United Kingdom,K02000001,01/02/2022,1761,704154
overview,United Kingdom,K02000001,31/01/2022,1659,702393
overview,United Kingdom,K02000001,30/01/2022,1427,700734
overview,United Kingdom,K02000001,29/01/2022,1449,699307
overview,United Kingdom,K02000001,28/01/2022,1523,697858
overview,United Kingdom,K02000001,27/01/2022,1679,696335
overview,United Kingdom,K02000001,26/01/2022,1872,694656
overview,United Kingdom,K02000001,25/01/2022,1898,692784
overview,United Kingdom,K02000001,24/01/2022,1782,690886
overview,United Kingdom,K02000001,23/01/2022,1686,689104
overview,United Kingdom,K02000001,22/01/2022,1436,687418
overview,United Kingdom,K02000001,21/01/2022,1675,685982
overview,United Kingdom,K02000001,20/01/2022,1906,684307
overview,United Kingdom,K02000001,19/01/2022,1988,682401
overview,United Kingdom,K02000001,18/01/2022,2011,680413
overview,United Kingdom,K02000001,17/01/2022,2028,678402
overview,United Kingdom,K02000001,16/01/2022,1937,676374
overview,United Kingdom,K02000001,15/01/2022,1787,674437
overview,United Kingdom,K02000001,14/01/2022,1936,672650
overview,United Kingdom,K02000001,13/01/2022,2163,670714
overview,United Kingdom,K02000001,12/01/2022,2205,668551
overview,United Kingdom,K02000001,11/01/2022,2413,666346
overview,United Kingdom,K02000001,10/01/2022,2457,663933
overview,United Kingdom,K02000001,09/01/2022,2217,661476
overview,United Kingdom,K02000001,08/01/2022,2099,659259
overview,United Kingdom,K02000001,07/01/2022,2043,657160
overview,United Kingdom,K02000001,06/01/2022,2341,655117
overview,United Kingdom,K02000001,05/01/2022,2402,652776
overview,United Kingdom,K02000001,04/01/2022,2400,650374
overview,United Kingdom,K02000001,03/01/2022,2480,647974
overview,United Kingdom,K02000001,02/01/2022,2116,645494
overview,United Kingdom,K02000001,01/01/2022,2076,643378
overview,United Kingdom,K02000001,31/12/2021,2105,641302
overview,United Kingdom,K02000001,30/12/2021,2404,639197
overview,United Kingdom,K02000001,29/12/2021,2634,636793
overview,United Kingdom,K02000001,28/12/2021,2311,634159
overview,United Kingdom,K02000001,27/12/2021,1969,631848
overview,United Kingdom,K02000001,26/12/2021,1548,629879
overview,United Kingdom,K02000001,25/12/2021,1419,628331
overview,United Kingdom,K02000001,24/12/2021,1201,626912
overview,United Kingdom,K02000001,23/12/2021,1405,625711
overview,United Kingdom,K02000001,22/12/2021,1416,624306
overview,United Kingdom,K02000001,21/12/2021,1263,622890
overview,United Kingdom,K02000001,20/12/2021,1220,621627
overview,United Kingdom,K02000001,19/12/2021,1019,620407
overview,United Kingdom,K02000001,18/12/2021,840,619388
overview,United Kingdom,K02000001,17/12/2021,880,618548
overview,United Kingdom,K02000001,16/12/2021,924,617668
overview,United Kingdom,K02000001,15/12/2021,956,616744
overview,United Kingdom,K02000001,14/12/2021,956,615788
overview,United Kingdom,K02000001,13/12/2021,928,614832
overview,United Kingdom,K02000001,12/12/2021,868,613904
overview,United Kingdom,K02000001,11/12/2021,792,613036
overview,United Kingdom,K02000001,10/12/2021,827,612244
overview,United Kingdom,K02000001,09/12/2021,952,611417
overview,United Kingdom,K02000001,08/12/2021,888,610465
overview,United Kingdom,K02000001,07/12/2021,943,609577
overview,United Kingdom,K02000001,06/12/2021,871,608634
overview,United Kingdom,K02000001,05/12/2021,844,607763
overview,United Kingdom,K02000001,04/12/2021,747,606919
overview,United Kingdom,K02000001,03/12/2021,738,606172
overview,United Kingdom,K02000001,02/12/2021,838,605434
overview,United Kingdom,K02000001,01/12/2021,826,604596
overview,United Kingdom,K02000001,30/11/2021,841,603770
overview,United Kingdom,K02000001,29/11/2021,806,602929
overview,United Kingdom,K02000001,28/11/2021,714,602123
overview,United Kingdom,K02000001,27/11/2021,714,601409
overview,United Kingdom,K02000001,26/11/2021,733,600695
overview,United Kingdom,K02000001,25/11/2021,775,599962
overview,United Kingdom,K02000001,24/11/2021,910,599187
overview,United Kingdom,K02000001,23/11/2021,785,598277
overview,United Kingdom,K02000001,22/11/2021,743,597492
overview,United Kingdom,K02000001,21/11/2021,757,596749
overview,United Kingdom,K02000001,20/11/2021,738,595992
overview,United Kingdom,K02000001,19/11/2021,772,595254
overview,United Kingdom,K02000001,18/11/2021,842,594482
overview,United Kingdom,K02000001,17/11/2021,865,593640
overview,United Kingdom,K02000001,16/11/2021,904,592775
overview,United Kingdom,K02000001,15/11/2021,837,591871
overview,United Kingdom,K02000001,14/11/2021,807,591034
overview,United Kingdom,K02000001,13/11/2021,778,590227
overview,United Kingdom,K02000001,12/11/2021,890,589449
overview,United Kingdom,K02000001,11/11/2021,965,588559
overview,United Kingdom,K02000001,10/11/2021,987,587594
overview,United Kingdom,K02000001,09/11/2021,994,586607
overview,United Kingdom,K02000001,08/11/2021,1015,585613
overview,United Kingdom,K02000001,07/11/2021,888,584598
overview,United Kingdom,K02000001,06/11/2021,831,583710
overview,United Kingdom,K02000001,05/11/2021,861,582879
overview,United Kingdom,K02000001,04/11/2021,887,582018
overview,United Kingdom,K02000001,03/11/2021,987,581131
overview,United Kingdom,K02000001,02/11/2021,1084,580144
overview,United Kingdom,K02000001,01/11/2021,1099,579060
overview,United Kingdom,K02000001,31/10/2021,1009,577961
overview,United Kingdom,K02000001,30/10/2021,903,576952
overview,United Kingdom,K02000001,29/10/2021,1031,576049
overview,United Kingdom,K02000001,28/10/2021,1087,575018
overview,United Kingdom,K02000001,27/10/2021,1164,573931
overview,United Kingdom,K02000001,26/10/2021,1121,572767
overview,United Kingdom,K02000001,25/10/2021,1067,571646
overview,United Kingdom,K02000001,24/10/2021,972,570579
overview,United Kingdom,K02000001,23/10/2021,915,569607
overview,United Kingdom,K02000001,22/10/2021,948,568692
overview,United Kingdom,K02000001,21/10/2021,987,567744
overview,United Kingdom,K02000001,20/10/2021,1113,566757
overview,United Kingdom,K02000001,19/10/2021,1115,565644
overview,United Kingdom,K02000001,18/10/2021,1089,564529
overview,United Kingdom,K02000001,17/10/2021,973,563440
overview,United Kingdom,K02000001,16/10/2021,886,562467
overview,United Kingdom,K02000001,15/10/2021,958,561581
overview,United Kingdom,K02000001,14/10/2021,914,560623
overview,United Kingdom,K02000001,13/10/2021,930,559709
overview,United Kingdom,K02000001,12/10/2021,946,558779
overview,United Kingdom,K02000001,11/10/2021,850,557833
overview,United Kingdom,K02000001,10/10/2021,735,556983
overview,United Kingdom,K02000001,09/10/2021,767,556248
overview,United Kingdom,K02000001,08/10/2021,791,555481
overview,United Kingdom,K02000001,07/10/2021,827,554690
overview,United Kingdom,K02000001,06/10/2021,783,553863
overview,United Kingdom,K02000001,05/10/2021,840,553080
overview,United Kingdom,K02000001,04/10/2021,813,552240
overview,United Kingdom,K02000001,03/10/2021,722,551427
overview,United Kingdom,K02000001,02/10/2021,698,550705
overview,United Kingdom,K02000001,01/10/2021,698,550007
overview,United Kingdom,K02000001,30/09/2021,706,549309
overview,United Kingdom,K02000001,29/09/2021,810,548603
overview,United Kingdom,K02000001,28/09/2021,783,547793
overview,United Kingdom,K02000001,27/09/2021,781,547010
overview,United Kingdom,K02000001,26/09/2021,672,546229
overview,United Kingdom,K02000001,25/09/2021,678,545557
overview,United Kingdom,K02000001,24/09/2021,731,544879
overview,United Kingdom,K02000001,23/09/2021,781,544148
overview,United Kingdom,K02000001,22/09/2021,755,543367
overview,United Kingdom,K02000001,21/09/2021,804,542612
overview,United Kingdom,K02000001,20/09/2021,813,541808
overview,United Kingdom,K02000001,19/09/2021,731,540995
overview,United Kingdom,K02000001,18/09/2021,759,540264
overview,United Kingdom,K02000001,17/09/2021,754,539505
overview,United Kingdom,K02000001,16/09/2021,895,538751
overview,United Kingdom,K02000001,15/09/2021,950,537856
overview,United Kingdom,K02000001,14/09/2021,952,536906
overview,United Kingdom,K02000001,13/09/2021,942,535954
overview,United Kingdom,K02000001,12/09/2021,868,535012
overview,United Kingdom,K02000001,11/09/2021,851,534144
overview,United Kingdom,K02000001,10/09/2021,925,533293
overview,United Kingdom,K02000001,09/09/2021,1037,532368
overview,United Kingdom,K02000001,08/09/2021,1167,531331
overview,United Kingdom,K02000001,07/09/2021,1104,530164
overview,United Kingdom,K02000001,06/09/2021,1078,529060
overview,United Kingdom,K02000001,05/09/2021,879,527982
overview,United Kingdom,K02000001,04/09/2021,951,527103
overview,United Kingdom,K02000001,03/09/2021,928,526152
overview,United Kingdom,K02000001,02/09/2021,999,525224
overview,United Kingdom,K02000001,01/09/2021,1084,524225
overview,United Kingdom,K02000001,31/08/2021,1003,523141
overview,United Kingdom,K02000001,30/08/2021,997,522138
overview,United Kingdom,K02000001,29/08/2021,857,521141
overview,United Kingdom,K02000001,28/08/2021,864,520284
overview,United Kingdom,K02000001,27/08/2021,945,519420
overview,United Kingdom,K02000001,26/08/2021,957,518475
overview,United Kingdom,K02000001,25/08/2021,1037,517518
overview,United Kingdom,K02000001,24/08/2021,999,516481
overview,United Kingdom,K02000001,23/08/2021,967,515482
overview,United Kingdom,K02000001,22/08/2021,834,514515
overview,United Kingdom,K02000001,21/08/2021,876,513681
overview,United Kingdom,K02000001,20/08/2021,873,512805
overview,United Kingdom,K02000001,19/08/2021,950,511932
overview,United Kingdom,K02000001,18/08/2021,913,510982
overview,United Kingdom,K02000001,17/08/2021,968,510069
overview,United Kingdom,K02000001,16/08/2021,870,509101
overview,United Kingdom,K02000001,15/08/2021,807,508231
overview,United Kingdom,K02000001,14/08/2021,789,507424
overview,United Kingdom,K02000001,13/08/2021,790,506635
overview,United Kingdom,K02000001,12/08/2021,861,505845
overview,United Kingdom,K02000001,11/08/2021,849,504984
overview,United Kingdom,K02000001,10/08/2021,894,504135
overview,United Kingdom,K02000001,09/08/2021,758,503241
overview,United Kingdom,K02000001,08/08/2021,742,502483
overview,United Kingdom,K02000001,07/08/2021,728,501741
overview,United Kingdom,K02000001,06/08/2021,781,501013
overview,United Kingdom,K02000001,05/08/2021,812,500232
overview,United Kingdom,K02000001,04/08/2021,836,499420
overview,United Kingdom,K02000001,03/08/2021,763,498584
overview,United Kingdom,K02000001,02/08/2021,788,497821
overview,United Kingdom,K02000001,01/08/2021,738,497033
overview,United Kingdom,K02000001,31/07/2021,676,496295
overview,United Kingdom,K02000001,30/07/2021,746,495619
overview,United Kingdom,K02000001,29/07/2021,839,494873
overview,United Kingdom,K02000001,28/07/2021,852,494034
overview,United Kingdom,K02000001,27/07/2021,922,493182
overview,United Kingdom,K02000001,26/07/2021,941,492260
overview,United Kingdom,K02000001,25/07/2021,939,491319
overview,United Kingdom,K02000001,24/07/2021,828,490380
overview,United Kingdom,K02000001,23/07/2021,866,489552
overview,United Kingdom,K02000001,22/07/2021,954,488686
overview,United Kingdom,K02000001,21/07/2021,930,487732
overview,United Kingdom,K02000001,20/07/2021,938,486802
overview,United Kingdom,K02000001,19/07/2021,878,485864
overview,United Kingdom,K02000001,18/07/2021,799,484986
overview,United Kingdom,K02000001,17/07/2021,710,484187
overview,United Kingdom,K02000001,16/07/2021,700,483477
overview,United Kingdom,K02000001,15/07/2021,775,482777
overview,United Kingdom,K02000001,14/07/2021,756,482002
overview,United Kingdom,K02000001,13/07/2021,750,481246
overview,United Kingdom,K02000001,12/07/2021,732,480496
overview,United Kingdom,K02000001,11/07/2021,594,479764
overview,United Kingdom,K02000001,10/07/2021,552,479170
overview,United Kingdom,K02000001,09/07/2021,559,478618
overview,United Kingdom,K02000001,08/07/2021,608,478059
overview,United Kingdom,K02000001,07/07/2021,571,477451
overview,United Kingdom,K02000001,06/07/2021,577,476880
overview,United Kingdom,K02000001,05/07/2021,520,476303
overview,United Kingdom,K02000001,04/07/2021,470,475783
overview,United Kingdom,K02000001,03/07/2021,396,475313
overview,United Kingdom,K02000001,02/07/2021,392,474917
overview,United Kingdom,K02000001,01/07/2021,373,474525
overview,United Kingdom,K02000001,30/06/2021,417,474152
overview,United Kingdom,K02000001,29/06/2021,368,473735
overview,United Kingdom,K02000001,28/06/2021,310,473367
overview,United Kingdom,K02000001,27/06/2021,267,473057
overview,United Kingdom,K02000001,26/06/2021,268,472790
overview,United Kingdom,K02000001,25/06/2021,256,472522
overview,United Kingdom,K02000001,24/06/2021,255,472266
overview,United Kingdom,K02000001,23/06/2021,275,472011
overview,United Kingdom,K02000001,22/06/2021,242,471736
overview,United Kingdom,K02000001,21/06/2021,233,471494
overview,United Kingdom,K02000001,20/06/2021,207,471261
overview,United Kingdom,K02000001,19/06/2021,211,471054
overview,United Kingdom,K02000001,18/06/2021,239,470843
overview,United Kingdom,K02000001,17/06/2021,245,470604
